0,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode100,Desc_LiquidOil_C,Liquid,Infinite
1,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode101_1893,Desc_SAM_C,Solid,Infinite
2,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode101_UAID_40B076DF2F79E6D901_1551800812,Desc_SAM_C,Solid,Infinite
3,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode101_UAID_40B076DF2F79E7D901_2125168992,Desc_SAM_C,Solid,Infinite
4,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode102_2068,Desc_Stone_C,Solid,Infinite
5,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode103,Desc_Stone_C,Solid,Infinite
6,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode104,Desc_Stone_C,Solid,Infinite
7,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode105_2463,Desc_OreIron_C,Solid,Infinite
8,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode106,Desc_OreIron_C,Solid,Infinite
9,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode107,Desc_OreIron_C,Solid,Infinite
10,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode108,Desc_OreIron_C,Solid,Infinite
11,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode109,Desc_OreIron_C,Solid,Infinite
12,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode11,Desc_Stone_C,Solid,Infinite
13,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode110,Desc_Stone_C,Solid,Infinite
14,[2024.11.05-16.47.31:572][238][2024-11-05 17:47:31] BP_ResourceNode111_3367,Desc_OreCopper_C,Solid,Infinite
